,0
2007-109604-BARNES SOUTH UNDERBURN - BARNES SOUTH  UNDERBURN (1),0
2007-110223-BOYD JOHNSON (1),0
2008-110638-VIRGINIAS (3),0
2008-111430-GEORGE BRAND (1),0
2009-111896-VIRGINIAS (2),0
2009-112409-JAMIE JORDON (1),0
2009-112414-JIM TIMBERLAKE (1),0
2010-113410-No Fire Name Provided (1),0
2010-113664-WILLIAM GHOLSTON (1),0
2010-113737-JOHN HUTCHESON (1),0
2010-113765-JEAN DODSON (1),0
2010-113804-KEITH O'DANIEL (1),0
2010-114308-MICHAEL CROWE (1),0
2010-114321-JEANETTE WALKER (1),0
2012-115628-No Fire Name Provided (2),0
2012-115973-No Fire Name Provided (1),0
2012-116234-Little Bald Hills - Williams Ridge Rx (2),0
2013-117085-BALANCE UNDERBURN UNIT 2-1 (1),0
2015-119581-MYRTLE BB WUI FY 15 (1),0
2015-119616-RICHARDS,0
2015-119750-DELTA BLOCK 1 (1),0
2015-119981-JIM BETHEL GFC (1),0
2015-120211-INTERDISCIPLINARY UNIT LBJ 41 - PATCH BURN UNIT A (HOPWELL CHURCH) (1),0
2016-120677-FULTON (1),0
2016-121009-No Fire Name Provided (1),0
2017-122263-LITTLE SPRINGS - LITTLE SPRINGS  BROADCAST BURN (1),0
2019-125744-BJUGSTAD/OWEGO ANNEX - BJUGSTAD WEST SPRING BURN 2019 (1),0
2020-127491-NORTH DIVIDE UNIT 12 (2),0
