year,annual_smoke_estimate,lower_bound,upper_bound
1968,0.7893504998937023,,
1969,0.5286409329050394,,
1970,1.9484964140684002,,
1971,1.6702894079774746,,
1972,0.09116958899218694,,
1973,0.24103359847948969,,
1974,0.2328408833697046,,
1975,0.21773337627724665,,
1976,0.40335178645882297,,
1977,0.705933089884611,,
1978,1.1337889279390863,,
1979,0.4004320038143835,,
1980,1.5036421152024972,,
1981,0.33976815070273814,,
1982,0.16930901910227042,,
1983,0.26588150921622344,,
1984,0.30135191737150496,,
1985,9.933733619110193,,
1986,5.208134133324076,,
1987,14.344790125994653,,
1988,1.56206739684674,,
1989,2.0563340333984463,,
1990,1.335249952684915,,
1991,11.481724865425997,,
1992,1.7871570920920499,,
1993,0.7940309870501631,,
1994,2.6277746440441385,,
1995,1.4605487163282929,,
1996,0.7211292386774786,,
1997,1.128573392422656,,
1998,1.4299960565821186,,
1999,4.312744533696402,,
2000,4.78578050810541,,
2001,3.6804509631515048,,
2002,3.5045611876134592,,
2003,1.3887263687214777,,
2004,2.5836518829137503,,
2005,2.3919686771545923,,
2006,2.194324190511735,,
2007,3.1782857586287725,,
2008,3.2279274219579293,,
2009,2.120965686861008,,
2010,1.8673965057205162,,
2011,5.8036431946967495,,
2012,3.22954521482553,,
2013,1.3270626761479423,,
2014,1.3281526390807252,,
2015,1.1246368481825524,,
2016,2.9765083624253648,,
2017,2.4055995735226894,,
2018,1.3294989077814297,,
2019,1.0291096305335632,,
2020,0.8558845295771993,,
2020,1.7409177155220126,-3.495307634671822,6.977143065715848
2021,1.8729950776231934,-3.4748291664806255,7.220819321727013
2022,2.0846494171422005,-3.4434396053803527,7.612738439664754
2023,2.1527966959677025,-3.4051550705725058,7.710748462507911
2024,2.210377627700997,-3.3683768083966346,7.789132063798629
2025,2.235705725048234,-3.3498700156462062,7.821281465742675
2026,2.2526637833128866,-3.336849649768558,7.842177216394331
2027,2.261231129868794,-3.330069527539336,7.852531787276924
2028,2.266436470327587,-3.325877239423434,7.858750180078609
2029,2.2692333088127947,-3.323606784454997,7.862073402080586
2030,2.270862928983814,-3.3222759490377425,7.864001807005371
2031,2.2717626935039905,-3.321539690694165,7.8650650777021465
2032,2.2722774770045513,-3.3211177136947923,7.865672667703895
2033,2.2725651328602003,-3.320881928072101,7.866012193792502
2034,2.2727284016037586,-3.3207481483258365,7.866204951533353
2035,2.2728201163621677,-3.3206731364745834,7.866313369198918
2036,2.2728719904563994,-3.320630845740381,7.86637482665318
2037,2.272901197723061,-3.3206071817727247,7.866409577218847
2038,2.2729176921203886,-3.3205939641516005,7.866429348392378
2039,2.2729269885779173,-3.3205866624616975,7.866440639617532
2040,2.2729322350945314,-3.320582689242041,7.866447159431104
2041,2.2729351934163056,-3.3205805967503474,7.866450983582959
2042,2.2729368624723154,-3.320579563914234,7.866453288858865
2043,2.272937803776684,-3.320579129242212,7.86645473679558
2044,2.272938334782653,-3.3205790318043036,7.86645570136961
2045,2.2729386342819224,-3.3205791246499765,7.866456393213822
2046,2.2729388032250215,-3.320579324803746,7.866456931253789
2047,2.272938898516297,-3.3205795854945395,7.866457382527133
2048,2.272938952267355,-3.3205798803285895,7.8664577848633
2049,2.2729389825857957,-3.320580194422715,7.866458159594306
2050,2.2729389996873666,-3.3205805193802123,7.866458518754945
