"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Gender"
"51","Virginia","51001","Accomack","2010","20.6","",,"Male"
"51","Virginia","51001","Accomack","2010","17.7","",,"Female"
"51","Virginia","51001","Accomack","2011","22.0","",,"Male"
"51","Virginia","51001","Accomack","2011","19.8","",,"Female"
"51","Virginia","51001","Accomack","2012","26.9","",,"Male"
"51","Virginia","51001","Accomack","2012","21.4","",,"Female"
"51","Virginia","51001","Accomack","2013","18.6","",,"Male"
"51","Virginia","51001","Accomack","2013","21.6","",,"Female"
"51","Virginia","51001","Accomack","2014","22.8","",,"Male"
"51","Virginia","51001","Accomack","2014","19.9","",,"Female"
"51","Virginia","51001","Accomack","2015","19.0","",,"Male"
"51","Virginia","51001","Accomack","2015","21.9","",,"Female"
"51","Virginia","51001","Accomack","2016","19.0","",,"Male"
"51","Virginia","51001","Accomack","2016","22.6","",,"Female"
"51","Virginia","51001","Accomack","2017","20.0","",,"Male"
"51","Virginia","51001","Accomack","2017","24.3","",,"Female"
"51","Virginia","51001","Accomack","2018","16.7","",,"Male"
"51","Virginia","51001","Accomack","2018","18.4","",,"Female"
"51","Virginia","51001","Accomack","2019","16.1","",,"Male"
"51","Virginia","51001","Accomack","2019","19.2","",,"Female"
"51","Virginia","51001","Accomack","2020","10.6","",,"Male"
"51","Virginia","51001","Accomack","2020","10.7","",,"Female"
"51","Virginia","51001","Accomack","2021","6.1","",,"Male"
"51","Virginia","51001","Accomack","2021","6.0","",,"Female"
"51","Virginia","51001","Accomack","2022","5.8","",,"Male"
"51","Virginia","51001","Accomack","2022","10.0","",,"Female"
"51","Virginia","51003","Albemarle","2010","20.8","",,"Male"
"51","Virginia","51003","Albemarle","2010","19.7","",,"Female"
"51","Virginia","51003","Albemarle","2011","19.4","",,"Male"
"51","Virginia","51003","Albemarle","2011","19.9","",,"Female"
"51","Virginia","51003","Albemarle","2012","17.4","",,"Male"
"51","Virginia","51003","Albemarle","2012","18.3","",,"Female"
"51","Virginia","51003","Albemarle","2013","14.5","",,"Male"
"51","Virginia","51003","Albemarle","2013","15.7","",,"Female"
"51","Virginia","51003","Albemarle","2014","12.7","",,"Male"
"51","Virginia","51003","Albemarle","2014","13.5","",,"Female"
"51","Virginia","51003","Albemarle","2015","12.9","",,"Male"
"51","Virginia","51003","Albemarle","2015","14.5","",,"Female"
"51","Virginia","51003","Albemarle","2016","15.6","",,"Male"
"51","Virginia","51003","Albemarle","2016","15.9","",,"Female"
"51","Virginia","51003","Albemarle","2017","19.4","",,"Male"
"51","Virginia","51003","Albemarle","2017","23.1","",,"Female"
"51","Virginia","51003","Albemarle","2018","15.6","",,"Male"
"51","Virginia","51003","Albemarle","2018","17.3","",,"Female"
"51","Virginia","51003","Albemarle","2019","13.1","",,"Male"
"51","Virginia","51003","Albemarle","2019","17.4","",,"Female"
"51","Virginia","51003","Albemarle","2020","8.7","",,"Male"
"51","Virginia","51003","Albemarle","2020","9.5","",,"Female"
"51","Virginia","51003","Albemarle","2021","7.9","",,"Male"
"51","Virginia","51003","Albemarle","2021","7.2","",,"Female"
"51","Virginia","51003","Albemarle","2022","7.0","",,"Male"
"51","Virginia","51003","Albemarle","2022","10.3","",,"Female"
"51","Virginia","51510","Alexandria","2010","9.9","",,"Male"
"51","Virginia","51510","Alexandria","2010","9.1","",,"Female"
"51","Virginia","51510","Alexandria","2011","10.8","",,"Male"
"51","Virginia","51510","Alexandria","2011","12.1","",,"Female"
"51","Virginia","51510","Alexandria","2012","9.8","",,"Male"
"51","Virginia","51510","Alexandria","2012","11.9","",,"Female"
"51","Virginia","51510","Alexandria","2013","8.3","",,"Male"
"51","Virginia","51510","Alexandria","2013","9.2","",,"Female"
"51","Virginia","51510","Alexandria","2014","10.6","",,"Male"
"51","Virginia","51510","Alexandria","2014","11.0","",,"Female"
"51","Virginia","51510","Alexandria","2015","9.8","",,"Male"
"51","Virginia","51510","Alexandria","2015","11.1","",,"Female"
"51","Virginia","51510","Alexandria","2016","10.7","",,"Male"
"51","Virginia","51510","Alexandria","2016","13.3","",,"Female"
"51","Virginia","51510","Alexandria","2017","12.1","",,"Male"
"51","Virginia","51510","Alexandria","2017","13.2","",,"Female"
"51","Virginia","51510","Alexandria","2018","9.0","",,"Male"
"51","Virginia","51510","Alexandria","2018","8.5","",,"Female"
"51","Virginia","51510","Alexandria","2019","7.3","",,"Male"
"51","Virginia","51510","Alexandria","2019","8.2","",,"Female"
"51","Virginia","51510","Alexandria","2020","5.3","",,"Male"
"51","Virginia","51510","Alexandria","2020","4.5","",,"Female"
"51","Virginia","51510","Alexandria","2021","3.4","",,"Male"
"51","Virginia","51510","Alexandria","2021","2.7","",,"Female"
"51","Virginia","51510","Alexandria","2022","2.6","",,"Male"
"51","Virginia","51510","Alexandria","2022","2.2","",,"Female"
"51","Virginia","51005","Alleghany","2010","22.3","",,"Male"
"51","Virginia","51005","Alleghany","2010","26.9","",,"Female"
"51","Virginia","51005","Alleghany","2011","25.2","",,"Male"
"51","Virginia","51005","Alleghany","2011","28.1","",,"Female"
"51","Virginia","51005","Alleghany","2012","21.7","",,"Male"
"51","Virginia","51005","Alleghany","2012","30.5","",,"Female"
"51","Virginia","51005","Alleghany","2013","23.0","",,"Male"
"51","Virginia","51005","Alleghany","2013","22.8","",,"Female"
"51","Virginia","51005","Alleghany","2014","13.8","",,"Male"
"51","Virginia","51005","Alleghany","2014","25.6","",,"Female"
"51","Virginia","51005","Alleghany","2015","85.4","",,"Male"
"51","Virginia","51005","Alleghany","2015","95.5","",,"Female"
"51","Virginia","51005","Alleghany","2016","17.2","",,"Male"
"51","Virginia","51005","Alleghany","2016","24.3","",,"Female"
"51","Virginia","51005","Alleghany","2017","17.3","",,"Male"
"51","Virginia","51005","Alleghany","2017","23.1","",,"Female"
"51","Virginia","51005","Alleghany","2018","12.0","",,"Male"
"51","Virginia","51005","Alleghany","2018","17.1","",,"Female"
"51","Virginia","51005","Alleghany","2019","10.6","",,"Male"
"51","Virginia","51005","Alleghany","2019","19.6","",,"Female"
"51","Virginia","51005","Alleghany","2020","5.8","",,"Male"
"51","Virginia","51005","Alleghany","2020","11.9","",,"Female"
"51","Virginia","51005","Alleghany","2021","5.1","",,"Male"
"51","Virginia","51005","Alleghany","2021","7.4","",,"Female"
"51","Virginia","51005","Alleghany","2022","7.3","",,"Male"
"51","Virginia","51005","Alleghany","2022","5.6","",,"Female"
"51","Virginia","51007","Amelia","2010","23.6","",,"Male"
"51","Virginia","51007","Amelia","2010","21.7","",,"Female"
"51","Virginia","51007","Amelia","2011","25.1","",,"Male"
"51","Virginia","51007","Amelia","2011","26.4","",,"Female"
"51","Virginia","51007","Amelia","2012","22.5","",,"Male"
"51","Virginia","51007","Amelia","2012","24.4","",,"Female"
"51","Virginia","51007","Amelia","2013","19.9","",,"Male"
"51","Virginia","51007","Amelia","2013","20.7","",,"Female"
"51","Virginia","51007","Amelia","2014","17.7","",,"Male"
"51","Virginia","51007","Amelia","2014","17.5","",,"Female"
"51","Virginia","51007","Amelia","2015","16.1","",,"Male"
"51","Virginia","51007","Amelia","2015","18.1","",,"Female"
"51","Virginia","51007","Amelia","2016","18.0","",,"Male"
"51","Virginia","51007","Amelia","2016","20.6","",,"Female"
"51","Virginia","51007","Amelia","2017","18.5","",,"Male"
"51","Virginia","51007","Amelia","2017","20.8","",,"Female"
"51","Virginia","51007","Amelia","2018","10.6","",,"Male"
"51","Virginia","51007","Amelia","2018","11.6","",,"Female"
"51","Virginia","51007","Amelia","2019","11.2","",,"Male"
"51","Virginia","51007","Amelia","2019","13.2","",,"Female"
"51","Virginia","51007","Amelia","2020","7.7","",,"Male"
"51","Virginia","51007","Amelia","2020","8.5","",,"Female"
"51","Virginia","51007","Amelia","2021","6.8","",,"Male"
"51","Virginia","51007","Amelia","2021","5.9","",,"Female"
"51","Virginia","51007","Amelia","2022","5.6","",,"Male"
"51","Virginia","51007","Amelia","2022","6.0","",,"Female"
"51","Virginia","51009","Amherst","2010","33.2","",,"Male"
"51","Virginia","51009","Amherst","2010","27.4","",,"Female"
"51","Virginia","51009","Amherst","2011","37.6","",,"Male"
"51","Virginia","51009","Amherst","2011","34.9","",,"Female"
"51","Virginia","51009","Amherst","2012","29.9","",,"Male"
"51","Virginia","51009","Amherst","2012","32.8","",,"Female"
"51","Virginia","51009","Amherst","2013","20.1","",,"Male"
"51","Virginia","51009","Amherst","2013","22.2","",,"Female"
"51","Virginia","51009","Amherst","2014","17.0","",,"Male"
"51","Virginia","51009","Amherst","2014","19.7","",,"Female"
"51","Virginia","51009","Amherst","2015","19.1","",,"Male"
"51","Virginia","51009","Amherst","2015","21.3","",,"Female"
"51","Virginia","51009","Amherst","2016","16.4","",,"Male"
"51","Virginia","51009","Amherst","2016","19.9","",,"Female"
"51","Virginia","51009","Amherst","2017","16.7","",,"Male"
"51","Virginia","51009","Amherst","2017","23.2","",,"Female"
"51","Virginia","51009","Amherst","2018","14.7","",,"Male"
"51","Virginia","51009","Amherst","2018","22.5","",,"Female"
"51","Virginia","51009","Amherst","2019","17.6","",,"Male"
"51","Virginia","51009","Amherst","2019","21.9","",,"Female"
"51","Virginia","51009","Amherst","2020","10.3","",,"Male"
"51","Virginia","51009","Amherst","2020","12.6","",,"Female"
"51","Virginia","51009","Amherst","2021","7.6","",,"Male"
"51","Virginia","51009","Amherst","2021","11.0","",,"Female"
"51","Virginia","51009","Amherst","2022","10.5","",,"Male"
"51","Virginia","51009","Amherst","2022","11.8","",,"Female"
"51","Virginia","51011","Appomattox","2010","39.6","",,"Male"
"51","Virginia","51011","Appomattox","2010","32.5","",,"Female"
"51","Virginia","51011","Appomattox","2011","46.0","",,"Male"
"51","Virginia","51011","Appomattox","2011","38.9","",,"Female"
"51","Virginia","51011","Appomattox","2012","41.0","",,"Male"
"51","Virginia","51011","Appomattox","2012","33.3","",,"Female"
"51","Virginia","51011","Appomattox","2013","31.8","",,"Male"
"51","Virginia","51011","Appomattox","2013","25.2","",,"Female"
"51","Virginia","51011","Appomattox","2014","22.4","",,"Male"
"51","Virginia","51011","Appomattox","2014","24.0","",,"Female"
"51","Virginia","51011","Appomattox","2015","25.4","",,"Male"
"51","Virginia","51011","Appomattox","2015","23.4","",,"Female"
"51","Virginia","51011","Appomattox","2016","20.8","",,"Male"
"51","Virginia","51011","Appomattox","2016","24.2","",,"Female"
"51","Virginia","51011","Appomattox","2017","22.5","",,"Male"
"51","Virginia","51011","Appomattox","2017","28.7","",,"Female"
"51","Virginia","51011","Appomattox","2018","17.6","",,"Male"
"51","Virginia","51011","Appomattox","2018","20.2","",,"Female"
"51","Virginia","51011","Appomattox","2019","18.2","",,"Male"
"51","Virginia","51011","Appomattox","2019","23.3","",,"Female"
"51","Virginia","51011","Appomattox","2020","11.0","",,"Male"
"51","Virginia","51011","Appomattox","2020","13.1","",,"Female"
"51","Virginia","51011","Appomattox","2021","9.3","",,"Male"
"51","Virginia","51011","Appomattox","2021","13.8","",,"Female"
"51","Virginia","51011","Appomattox","2022","12.8","",,"Male"
"51","Virginia","51011","Appomattox","2022","11.7","",,"Female"
"51","Virginia","51013","Arlington","2010","10.0","",,"Male"
"51","Virginia","51013","Arlington","2010","9.1","",,"Female"
"51","Virginia","51013","Arlington","2011","10.8","",,"Male"
"51","Virginia","51013","Arlington","2011","12.1","",,"Female"
"51","Virginia","51013","Arlington","2012","9.9","",,"Male"
"51","Virginia","51013","Arlington","2012","11.9","",,"Female"
"51","Virginia","51013","Arlington","2013","8.2","",,"Male"
"51","Virginia","51013","Arlington","2013","9.2","",,"Female"
"51","Virginia","51013","Arlington","2014","8.4","",,"Male"
"51","Virginia","51013","Arlington","2014","8.7","",,"Female"
"51","Virginia","51013","Arlington","2015","7.2","",,"Male"
"51","Virginia","51013","Arlington","2015","7.6","",,"Female"
"51","Virginia","51013","Arlington","2016","7.5","",,"Male"
"51","Virginia","51013","Arlington","2016","9.4","",,"Female"
"51","Virginia","51013","Arlington","2017","8.6","",,"Male"
"51","Virginia","51013","Arlington","2017","9.4","",,"Female"
"51","Virginia","51013","Arlington","2018","6.5","",,"Male"
"51","Virginia","51013","Arlington","2018","6.9","",,"Female"
"51","Virginia","51013","Arlington","2019","4.9","",,"Male"
"51","Virginia","51013","Arlington","2019","6.1","",,"Female"
"51","Virginia","51013","Arlington","2020","3.8","",,"Male"
"51","Virginia","51013","Arlington","2020","3.4","",,"Female"
"51","Virginia","51013","Arlington","2021","3.3","",,"Male"
"51","Virginia","51013","Arlington","2021","2.6","",,"Female"
"51","Virginia","51013","Arlington","2022","2.6","",,"Male"
"51","Virginia","51013","Arlington","2022","2.2","",,"Female"
"51","Virginia","51015","Augusta","2010","18.2","",,"Male"
"51","Virginia","51015","Augusta","2010","20.1","",,"Female"
"51","Virginia","51015","Augusta","2011","15.1","",,"Male"
"51","Virginia","51015","Augusta","2011","15.9","",,"Female"
"51","Virginia","51015","Augusta","2012","14.1","",,"Male"
"51","Virginia","51015","Augusta","2012","17.2","",,"Female"
"51","Virginia","51015","Augusta","2013","13.7","",,"Male"
"51","Virginia","51015","Augusta","2013","14.5","",,"Female"
"51","Virginia","51015","Augusta","2014","12.1","",,"Male"
"51","Virginia","51015","Augusta","2014","12.5","",,"Female"
"51","Virginia","51015","Augusta","2015","13.0","",,"Male"
"51","Virginia","51015","Augusta","2015","14.8","",,"Female"
"51","Virginia","51015","Augusta","2016","16.0","",,"Male"
"51","Virginia","51015","Augusta","2016","18.6","",,"Female"
"51","Virginia","51015","Augusta","2017","16.6","",,"Male"
"51","Virginia","51015","Augusta","2017","21.1","",,"Female"
"51","Virginia","51015","Augusta","2018","14.7","",,"Male"
"51","Virginia","51015","Augusta","2018","17.6","",,"Female"
"51","Virginia","51015","Augusta","2019","14.2","",,"Male"
"51","Virginia","51015","Augusta","2019","20.7","",,"Female"
"51","Virginia","51015","Augusta","2020","7.9","",,"Male"
"51","Virginia","51015","Augusta","2020","11.7","",,"Female"
"51","Virginia","51015","Augusta","2021","8.0","",,"Male"
"51","Virginia","51015","Augusta","2021","7.4","",,"Female"
"51","Virginia","51015","Augusta","2022","7.9","",,"Male"
"51","Virginia","51015","Augusta","2022","11.7","",,"Female"
"51","Virginia","51017","Bath","2010","15.5","",,"Male"
"51","Virginia","51017","Bath","2010","19.5","",,"Female"
"51","Virginia","51017","Bath","2011","16.7","",,"Male"
"51","Virginia","51017","Bath","2011","17.2","",,"Female"
"51","Virginia","51017","Bath","2012","15.7","",,"Male"
"51","Virginia","51017","Bath","2012","19.5","",,"Female"
"51","Virginia","51017","Bath","2013","14.8","",,"Male"
"51","Virginia","51017","Bath","2013","14.9","",,"Female"
"51","Virginia","51017","Bath","2014","11.4","",,"Male"
"51","Virginia","51017","Bath","2014","16.8","",,"Female"
"51","Virginia","51017","Bath","2015","61.8","",,"Male"
"51","Virginia","51017","Bath","2015","63.3","",,"Female"
"51","Virginia","51017","Bath","2016","15.3","",,"Male"
"51","Virginia","51017","Bath","2016","17.4","",,"Female"
"51","Virginia","51017","Bath","2017","11.7","",,"Male"
"51","Virginia","51017","Bath","2017","16.8","",,"Female"
"51","Virginia","51017","Bath","2018","13.0","",,"Male"
"51","Virginia","51017","Bath","2018","14.1","",,"Female"
"51","Virginia","51017","Bath","2019","13.4","",,"Male"
"51","Virginia","51017","Bath","2019","18.0","",,"Female"
"51","Virginia","51017","Bath","2020","5.0","",,"Male"
"51","Virginia","51017","Bath","2020","9.9","",,"Female"
"51","Virginia","51017","Bath","2021","7.1","",,"Male"
"51","Virginia","51017","Bath","2021","6.2","",,"Female"
"51","Virginia","51017","Bath","2022","5.5","",,"Male"
"51","Virginia","51017","Bath","2022","7.8","",,"Female"
